term,tfidf,chi,status
internet,0.004116895800717725,331.2390282940851,selected
minister PERSON,0.004409656925949392,324.19694575871904,selected
PERSON PERSON,0.012550105484448548,317.766663895702,selected
website,0.004672599705020552,317.13946512977157,selected
leader PERSON,0.003109198425960247,317.08635726314924,selected
us,0.013542691940192485,316.77956300167165,selected
conservative,0.002484918237807772,314.11627708154214,selected
chancellor,0.0037340615602812328,310.1425848893314,selected
bank,0.006176206348923316,307.9828764381418,selected
mr,0.012913620706335198,306.9544962570495,selected
economy,0.00627426288637971,303.4329454983907,selected
commons,0.002394634129194551,295.3182294316817,selected
mr PERSON,0.012734981715849865,293.0640431037403,selected
web,0.002427102177823587,292.7479083109438,selected
actress,0.0026904131830567347,292.3645031140712,selected
team,0.0068366642257964285,292.3480654153362,selected
champion,0.004194544492764717,288.43956771000956,selected
microsoft,0.002715436446090602,287.91216964700186,selected
mobile,0.004830655690937258,287.57456110715987,selected
party PERSON,0.0021667039579224188,284.37298051154454,selected
general,0.005185508520585156,281.72799811836825,selected
season,0.004972555776945579,280.19234842437675,selected
download,0.002435005134736305,278.1099253870794,selected
singer PERSON,0.0023723740477731427,276.85003714324097,selected
oil,0.004441710386797912,265.15174792587635,selected
economic,0.005408781023017281,264.50219806260094,selected
shadow,0.001895407481651553,263.9987196919674,selected
victory,0.004113280108139162,263.68777054373885,selected
actor PERSON,0.0021260908472005785,261.60698424665236,selected
tv,0.005974864130995902,261.1840366851301,selected
movie,0.003762904412887816,261.0393076494162,selected
price,0.0065736377518223685,260.9038442635643,selected
album,0.0036821315146444698,257.0431757707091,selected
phone,0.004954010550329321,256.756137564525,selected
rise,0.007693758757075773,256.48177836026457,selected
NUM nations,0.00284949824559329,255.08503378902012,selected
site,0.0033241960288911427,254.42028849929903,selected
conservatives,0.0020499468340777005,251.19093386176604,selected
tory leader,0.0017502903607790287,247.55443497247686,selected
comedy,0.0025639307427284346,246.62964184626145,selected
band,0.003938046653930557,243.47633390224564,selected
political,0.003827389902156894,242.04275270357581,selected
side,0.006001106100644855,240.5251531897782,selected
final,0.006523329068071496,239.62629219230888,selected
gaming,0.0023315767547716255,239.52500056838915,selected
song,0.003437223552151933,237.82064276956484,selected
service,0.007602958112229157,237.42483639920178,selected
system,0.0054653549064573705,236.539216724493,selected
liberal democrat,0.0014145353710896757,236.2190782503029,selected
liberal democrats,0.0016549037487920636,236.2190782503029,selected
machine,0.002644340311593195,233.09671553596164,selected
year old,0.005962409976634955,232.34769290282082,selected
investor,0.0029233357823662096,230.41860779598352,selected
via,0.0021746893290265005,229.88385411405028,selected
business,0.006212418685864034,228.7759217750774,selected
campaign,0.005100441745383095,228.62686092595246,selected
financial,0.004337317811527807,228.45211471582016,selected
share,0.007228358004600838,228.07863930141738,selected
awards,0.0019911547252216806,227.91668927102916,selected
win NUM,0.004315200827653031,227.82116075093433,selected
network,0.004193018020497601,227.52513129401788,selected
broadband,0.0026793669176137687,227.31666991912726,selected
mps,0.001968080307136509,226.97809550427672,selected
democrats,0.001852754750937394,225.89298776031208,selected
actress PERSON,0.001937859704788224,224.98267356160528,selected
britain,0.005514063016755029,223.54079022193739,selected
would,0.01574773125101591,223.53494822463787,selected
public,0.006740480203177804,223.3952979705796,selected
research,0.003960089904873548,221.98546712504955,selected
plan,0.008729528477405699,220.14565761050423,selected
home secretary,0.0019412378765543518,219.27574483517145,selected
mobile phone,0.002573780678301187,216.02880021195696,selected
nomination,0.0024656932237025605,215.58413913097354,selected
drama,0.0021889332839149984,213.9450534941136,selected
net,0.004861618838104616,213.59442037740592,selected
issue,0.006661193797789588,213.298467233499,selected
version,0.0037829356984006735,213.2742936402,selected
policy,0.0042097358788377075,211.52702250682884,selected
voter,0.002780073517111755,209.84500512792863,selected
PERSON film,0.0020452438853482075,208.64157419819887,selected
program,0.0024396027766406263,206.3305365136506,selected
rise NUM,0.003609153697807887,205.724793503986,selected
wireless,0.001545099718493227,205.16603740483762,selected
access,0.0036332397840215997,205.1189880828605,selected
club,0.0060587548620094625,204.42126843449466,selected
uk,0.009978664645761939,204.38831063811836,selected
analyst say,0.002313657737071801,203.89684761122163,selected
datum,0.0034394730797285395,203.87961959806705,selected
rugby,0.003195977211488814,203.65718039975778,selected
nations,0.0032613577853450922,202.2346737505566,selected
large,0.0050554253256754516,201.8362121691983,selected
democrat,0.0015679287420511043,201.79423761134183,selected
content,0.0022894262020470755,201.41206121101797,selected
investment,0.003891484581070123,201.22900004880037,selected
image,0.002222048607133941,199.75142175548555,selected
information,0.004160791220587256,199.26769593053245,selected
console,0.0018214232561679432,196.94288110767607,selected
council,0.003735765861179608,195.56831134691296,selected
apple,0.0022555238764398935,195.51479021649547,selected
chart,0.0028914521399349895,195.50449779217251,selected
stock,0.0031962738397773747,193.8987373040818,selected
tool,0.0018084686882003514,193.2741612740167,selected
artist,0.0027620784967439032,193.23466676072835,selected
parliament,0.0027020676389488477,193.12400278573443,selected
film PERSON,0.0017958216970633658,192.7392478202817,selected
gadget,0.0018135155117326245,192.07489903486368,selected
labour PERSON,0.0015757278756916675,191.19494616138812,selected
nominate,0.0019371028795438286,190.82666210142423,selected
news website,0.0017138223029743787,190.5917710656314,selected
PERSON play,0.004354999835120761,189.46546890519042,selected
PERSON NUM,0.013481722563834762,188.87764892007013,selected
government PERSON,0.002762781932227487,188.6151143756549,selected
PERSON say,0.015519641004505553,187.10554963468564,selected
squad,0.0029214383886378443,186.47923093446096,selected
consumer,0.004015984797556352,183.62497521723054,selected
festival,0.0025233058625722562,182.64193755214168,selected
PERSON win,0.005312015575397607,182.47506936484072,selected
ball,0.0026385777002443755,182.43501526395022,selected
chancellor PERSON,0.0018194867024309217,182.33986503609913,selected
increase,0.006047719152649553,181.98200138876933,selected
economist,0.002477992371464187,180.84294401894155,selected
goal,0.0039504770434016494,179.91111823914716,selected
champion PERSON,0.0025396617119574066,179.5161098004057,selected
export,0.0027601842727746004,179.44096412198093,selected
los angeles,0.0018376292382932986,178.90147100111352,selected
angeles,0.0018376292382932986,178.90147100111352,selected
speed,0.0028041344880383734,176.56506316661574,selected
product,0.004181965172631855,176.56292185156116,selected
shareholder,0.0022068332475475494,176.4107340429341,selected
defeat,0.002843751890351703,176.37049221433804,selected
prize,0.0032933803040895823,175.77713242218803,selected
cabinet,0.0018497502941418858,174.74420915154758,selected
chief,0.006250469745924015,174.5262648002817,selected
sale,0.007765594009928336,174.242298215916,selected
release,0.005575084919546502,173.5891049362055,selected
PERSON star,0.001656995238285243,173.4579695103446,selected
windows,0.0015706276725387105,172.50651683673976,selected
euro,0.004538024719749547,171.87107920475893,selected
screen,0.003071815450414775,171.07631252040122,selected
hollywood,0.0019589791244086,170.87716474291855,selected
los,0.001871147157125206,169.9573004634003,selected
forecast,0.0028778563221276143,169.90464729913774,selected
profit,0.004790960136453994,168.48317425515245,selected
ceremony,0.0024142825548502957,167.47247982375163,selected
NUM film,0.0018173209985685235,167.10547392471187,selected
popular,0.0026534130348124505,167.10307457959996,selected
sony,0.002349411860439257,166.8610398884451,selected
beat,0.005043839004166835,164.72155334025112,selected
old,0.0077500774279605205,164.41427305234072,selected
immigration,0.0020270979392683595,164.30385343502368,selected
state,0.006090733016178146,163.8363519039912,selected
people use,0.0012508644132130705,162.7261058562159,selected
grand,0.0029776873901419493,162.6506632240555,selected
include,0.009414990289314142,162.4743969900976,selected
tax,0.004863528612918735,161.68273528577458,selected
musical,0.002138643578685988,161.16931822198848,selected
bbc sport,0.001595278939825065,161.15261787828578,selected
striker,0.0021671767001527637,161.1000837377199,selected
parliamentary,0.0014133343975556373,159.25772821452188,selected
captain,0.002293431671408267,158.06287909917697,selected
connection,0.0022850772264223396,157.2666453961248,selected
dollar,0.00392637382251275,157.0142852819714,selected
work,0.01024698927674833,156.7595988696916,selected
audience,0.0028284535920327027,156.21520627011873,selected
chief executive,0.003904730435948348,155.0782112413074,selected
economic growth,0.001751380727428572,154.61896040875232,selected
portable,0.0011317103248419562,153.0196695644414,selected
sport,0.00411345397015468,152.92943889075957,selected
poll,0.0028400749500357442,152.5187924688787,selected
league,0.003516157356127515,152.3289443580179,selected
downing street,0.0012287213948159498,152.21034989672626,selected
arsenal,0.003020433393498236,152.0557555566176,selected
tournament,0.00247850388317558,152.03873601052652,selected
gamer,0.0015769941080509698,151.19971082629291,selected
NUM game,0.002464052803259818,151.09756050291216,selected
nominee,0.001539542453704405,151.05252902862037,selected
NUM minute,0.003923604728176456,150.86355693000496,selected
include PERSON,0.0024058365537058452,150.3519438728463,selected
olympic,0.0026776491841112486,149.66110848326818,selected
let,0.004098612876972391,148.65628422835124,selected
spokesman,0.005330832075805819,148.52329783095752,selected
bbc news,0.002864267170012113,147.70864991299104,selected
get,0.012454301191134885,147.46072819977417,selected
rate,0.00530568214096998,147.32428201073856,selected
vote,0.0047013672546502025,146.75750289182022,selected
election PERSON,0.0009550968740189857,146.6721266079101,selected
server,0.0011419520766470315,146.54208466268503,selected
mean,0.005978679972994765,146.231487723091,selected
message,0.0032321288551304525,145.0112732691788,selected
slam,0.0020726220331280703,144.56842185929642,selected
election campaign,0.0017172157963832942,144.51547374523827,selected
developer,0.0011419903811798276,144.3076393649106,selected
rock,0.00259210572868907,143.73329332790325,selected
box office,0.0018715919770242624,143.59797117231744,selected
PERSON party,0.001517054354632448,143.41088740044975,selected
manifesto,0.0014251376046606056,143.36041529519028,selected
sector,0.0031500787694239306,143.29272974275872,selected
however,0.006662869457659556,143.13653282563897,selected
way,0.008487772465556513,142.65762095390724,selected
trade,0.004538496243464848,142.10371045305246,selected
politic,0.0016694155834246884,142.05834522822977,selected
PERSON today,0.0012997595504391655,141.92756651844198,selected
demand,0.004886511677064628,141.89069582889968,selected
england,0.006633232347120894,141.4909383658146,selected
grand slam,0.0018585606035107021,141.18255831810401,selected
NUM match,0.001685204461616682,141.18255831810401,selected
fall,0.006634387777381657,140.64925895477964,selected
feature,0.0035039969282633326,140.56685544033186,selected
offer,0.006586371124618675,140.26501365216006,selected
ipod,0.0010920295410213148,140.07348392861485,selected
chance,0.004973778641942032,139.71107434521613,selected
entertainment,0.0020879707949054797,139.5804567094933,selected
tennis,0.002229605291008306,139.2148498652648,selected
kick,0.0025389287072602185,139.1600815134143,selected
let people,0.00124813039993316,138.93070389974608,selected
call,0.007845548376216113,138.18200876381917,selected
camera,0.0019982791536106888,138.0593525507338,selected
downing,0.001283361494869721,137.8707193523052,selected
customer,0.0034265500906352797,136.6636661040963,selected
proposal,0.003218849624179908,136.5443057956139,selected
launch,0.004801974293380338,136.21370308034994,selected
exchange,0.0028311549936348543,136.10198294847856,selected
grow,0.004937247310466864,135.825044420404,selected
cost,0.006269750180360801,135.39901985181262,selected
band PERSON,0.0012360399009293981,134.75623155472314,selected
championship,0.0020269519894729107,134.69267438223986,selected
bbc radio,0.002274954666035597,134.27611955343107,selected
lord PERSON,0.001657288571980645,133.90288196093562,selected
fa,0.0017618579483104858,132.44093699484895,selected
pledge,0.0023939686519051148,131.81194097167523,selected
mail,0.003498491638526433,131.74302095733088,selected
need,0.00810772304611287,131.72146771044228,selected
suggest,0.004229769520986369,131.5085847042666,selected
chip,0.0017179678668547522,131.24978275338322,selected
today programme,0.0012539322678433902,131.2129272482491,selected
lord,0.002666815838904923,131.20247396113584,selected
accord,0.005655659006548562,130.88435474164942,selected
stock market,0.001652799294868167,130.76053699516785,selected
foreign secretary,0.001257929105718186,130.10360860220175,selected
director PERSON,0.003385217184249503,129.6587647978671,selected
finance,0.0031331665376946945,129.3433653215725,selected
industry,0.005220611933749394,129.09769673243773,selected
argue,0.0032764828636965082,127.83321802059604,selected
bbc,0.00819162152940169,127.30601407701657,selected
hard drive,0.000902081411105243,127.1631603028599,selected
fall NUM,0.0026748644509784762,127.01418064130684,selected
public service,0.001295226008510911,126.63184393375684,selected
oil price,0.0016774209230387624,126.45421076668615,selected
debt,0.0030855248861121893,125.9289458361745,selected
terrorism,0.001472518135425973,125.8848969914964,selected
half PERSON,0.0015255492474496933,125.82269959468096,selected
pop,0.001980944705463411,125.50592220797817,selected
handset,0.0013982910353664009,125.40392161873812,selected
category,0.002429423533001084,125.26768233474513,selected
earning,0.002080643095108407,124.8255827300282,selected
education,0.0029508889094405806,124.80006207779617,selected
saturday,0.004102409279411222,124.73128463044694,selected
NUM euro,0.003301526342796864,124.66601460813379,selected
next election,0.0009745239891320815,124.59609984110922,selected
asset,0.0020380284764413706,124.46714326952144,selected
news,0.006339788811036404,124.43165948187522,selected
different,0.003743545723982279,124.28710488192533,selected
google,0.0019688909185501028,124.22170280656809,selected
spending,0.003256647933250209,124.09822113310423,selected
virus,0.0022870585899150324,124.09242147543554,selected
local,0.004376717938512117,123.88016540709927,selected
store,0.002244330313879939,123.85749384145213,selected
championships,0.0016372295549191445,123.72368256029984,selected
around,0.005527045620054374,123.49059833019896,selected
score,0.0028592746465837676,123.43506596657426,selected
technical,0.0016163765714888455,123.10904127344017,selected
mp PERSON,0.0010428078631128767,122.90787121658609,selected
lords,0.0016727685668593965,122.64145129743291,selected
love,0.003018891662345855,122.00138285209945,selected
law,0.005125641354044959,121.94785474065597,selected
buy,0.005423223002003879,121.9463764917437,selected
captain PERSON,0.001492741534847726,121.73017130608626,selected
many,0.00840265582016242,121.71112805697017,selected
claim,0.007072232282203587,121.69957058525199,selected
report,0.00850928416417771,121.57118010512407,selected
giant,0.0034984295631060734,121.43777798921192,selected
oscars,0.001456910539487282,121.34657603677958,selected
operating system,0.0007769028761576945,120.72140021000912,selected
processor,0.0009872398991834287,120.72140021000912,selected
model,0.002373070162121966,119.83512746978933,selected
win good,0.0015509313952649184,119.82765856578446,selected
expect,0.008945315944862536,119.72997864985125,selected
australian open,0.0018809376071307813,119.37416111019229,selected
striker PERSON,0.0014477166446790147,119.37416111019229,selected
athens,0.0019700404319705567,119.37416111019229,selected
graphic,0.0010223216874427608,119.19909368900636,selected
say party,0.0009835533248449824,119.09622978842323,selected
PERSON tories,0.0011328257832062254,119.09622978842323,selected
next general,0.0009001930440258446,119.09622978842323,selected
file,0.0033183125516745952,118.50111188071972,selected
viewer,0.0023472822603200537,118.3368150851159,selected
bankruptcy,0.0020003268954189852,118.32972878644154,selected
microsoft PERSON,0.0009977090166598526,118.26981820414186,selected
generation,0.0018459464026913909,118.25792439663613,selected
football,0.0035564321963351187,118.13851707080669,selected
debut,0.002943974486433769,117.90668033230523,selected
executive,0.005845508892752756,117.22928519418129,selected
politician,0.0015647318625310444,117.0646378346285,selected
reuters,0.0017538437365729653,117.04596069291017,selected
cut,0.005997411445345711,116.95469897627142,selected
aviator,0.0013065415255388544,116.93588442150794,selected
iraq,0.0026911044783454797,116.83925240142126,selected
constituency,0.0012068805620756705,115.9658852393973,selected
concert,0.001857048370825413,115.9441360088929,selected
executive PERSON,0.0028649435314973336,115.91729292119184,selected
academy,0.001652219713359063,115.77418360722386,selected
provider,0.001333402630288347,115.77156569512115,selected
athlete,0.00217514206838627,115.6855491948093,selected
season PERSON,0.0015965575721141145,115.50696395981524,selected
design,0.0030859611758708586,115.43507625965601,selected
high,0.008536128240777303,115.19068075461709,selected
producer,0.002722587647579624,115.1784034022727,selected
school,0.004022339095196338,115.0993093765606,selected
semi final,0.0013724951600461298,115.03069327379399,selected
office,0.005320843182517219,114.99032272853108,selected
interest rate,0.0021727669400310977,114.932148740401,selected
insist,0.0033013130876783014,114.57458656676398,selected
NUM PERSON,0.010748105591424466,114.47332647755233,selected
hardware,0.0008666536681211464,114.2885498821554,selected
urge,0.0023418612775084773,113.67514008888068,selected
police,0.0036614739485372667,113.29009533228083,selected
miss,0.00467347192812591,112.82588763490614,selected
world number,0.0015071855774605898,112.79705741976295,selected
boss PERSON,0.0024437097447645877,112.64505696257996,selected
NUM mobile,0.0010112957847455693,112.57333040335702,selected
original,0.002677609743803212,112.00576867882404,selected
write,0.004493533137083314,111.87323649946696,selected
bt,0.0019230744691122843,111.63113593774955,selected
definition,0.0011763158604417051,111.62548356124489,selected
show,0.01066704081609219,111.56952831569703,selected
debate,0.0023242196363312878,111.3701992105046,selected
film festival,0.001141373545863088,111.01221193731803,selected
theatre,0.001683112814943069,110.95531260013593,selected
sell,0.006319791988833221,110.90510304433809,selected
radio NUM,0.0024893412779408,110.82550732765185,selected
referee,0.0017145837530008724,110.69326642186914,selected
month,0.009544530769992916,110.51710403341139,selected
saturday PERSON,0.0019282259067870012,109.95156476044544,selected
foreign,0.004648517719051646,109.51415804270582,selected
round,0.002932400353572998,109.50383919490089,selected
company PERSON,0.0025825720269899407,108.6798218438556,selected
tell bbc,0.0052919265792923205,108.64116948070735,selected
available,0.003150694592696169,108.40849879103709,selected
training,0.0026290274869688146,108.33953319074816,selected
PERSON election,0.0013512421186516212,108.27439898350191,selected
deficit,0.002130381394682954,108.2586448486072,selected
party say,0.0008410432577305553,108.1193423286995,selected
PERSON liberal,0.000787931513808749,108.1193423286995,selected
rate NUM,0.001681617123192688,108.11387592256675,selected
reform,0.003031717960491356,108.10550087201432,selected
production,0.0037126291206272,108.02671011920151,selected
intel,0.0009509499611405289,107.86459084708378,selected
scene,0.001989576408152256,107.72674020492131,selected
seed,0.0025038384974633674,107.69276453412671,selected
slow,0.0031093991377324597,107.60709605240842,selected
could,0.012024390592295087,107.45699949922346,selected
electronic,0.0018491187207183776,107.45533095790108,selected
dvd,0.0019212585988992537,107.39013083312493,selected
base,0.0059084730630227,107.38832886234783,selected
currency,0.0016756951969935168,107.36928922848152,selected
winner,0.003750823623585589,107.07855807006439,selected
minute,0.0047603898084541425,107.03293323667691,selected
seat,0.002192263283798076,107.0284252243368,selected
power,0.004424646399124925,106.91985021924086,selected
develop,0.0036983143906578536,106.86614502916626,selected
indoor,0.0022672769883115827,106.81957435484357,selected
like,0.008912666439529916,106.75619550971788,selected
low,0.0055294127880244105,106.41870023511864,selected
fly half,0.0011578824765250428,106.36186796028747,selected
NUM seed,0.002153584783872576,106.36186796028747,selected
security,0.00397744124188549,106.26580864332492,selected
high definition,0.0009423167556177976,106.176041117414,selected
country,0.008856398651570247,106.0799494224973,selected
securities,0.0012341060392398791,105.64469318128926,selected
storage,0.0010138301641294918,105.34303425634776,selected
instal,0.0008712257127815011,105.29424981074422,selected
world PERSON,0.003840068872786863,105.1587267734424,selected
good actor,0.0010140966016367098,105.09673263775359,selected
good director,0.0009833198131412885,105.09673263775359,selected
terror,0.0016573304250095855,104.79859724606834,selected
promise,0.0030495843711319764,104.70266649689543,selected
boss,0.004074502786585716,104.67801883303302,selected
trading,0.0018555046752658374,104.60736299619826,selected
france,0.005011453349760903,104.60602734430212,selected
injury PERSON,0.0014837900941674404,104.41046197741369,selected
PERSON side,0.0011226181008982886,104.35402311876555,selected
NUM round,0.0020680560887886023,104.20436271679478,selected
NUM nomination,0.0011468519231984079,103.6488143890272,selected
ireland,0.004265017150610055,103.51905810666332,selected
manager PERSON,0.00226454114746043,103.34144530634242,selected
NUM album,0.0010174268519402092,103.30519206942478,selected
tv show,0.0013444159245542234,103.29039232951928,selected
presenter,0.001241653123599093,103.06535051086276,selected
NUM win,0.002633234850144835,103.02023740640358,selected
small,0.004042178526856108,102.91633159119404,selected
find,0.007261600914276526,102.66122986760502,selected
council tax,0.0011649864550619766,102.6422932917024,selected
westminster,0.0007627523638361596,102.6422932917024,selected
electoral,0.0010174118795361026,102.6422932917024,selected
december,0.005138584200107757,102.5871336741971,selected
PERSON share,0.0018678484329742887,102.36941478174873,selected
finish,0.0027495251283792036,102.06566099807347,selected
champions league,0.001762123875698133,102.03648532990243,selected
flanker,0.0012442949915886454,102.03648532990243,selected
play PERSON,0.0029573867459691747,102.02057036077457,selected
taxis,0.002283192216429504,101.9505726199369,selected
semi,0.0016228343371660037,101.81549084240423,selected
game console,0.0006291999873670625,101.44950468360756,selected
multimedia,0.0007976839229555637,101.44950468360756,selected
weak,0.0018935337091948831,101.24805850294486,selected
home office,0.0010761293524927632,101.06514302590718,selected
house lords,0.001150264878041885,100.75565475176816,selected
tech,0.0011197127921576885,100.61506912396192,selected
scotland,0.004052668865629024,100.55170560138303,selected
champions,0.0018319240347580113,100.15690136141515,selected
handheld,0.0012983356570454747,100.01565080910923,selected
high speed,0.0010624570028410973,99.48656883498849,selected
spokesman say,0.002361954223479066,99.46126135885888,selected
premiership,0.0018256320109066228,99.35714729630466,selected
growth NUM,0.001601936822103883,99.3430465406073,selected
NUM rise,0.001485640469463927,99.33809962138207,selected
sony PERSON,0.0009799430230037682,99.29982643429983,selected
career,0.003807550835383016,99.18286699755484,selected
takeover,0.001948771585011659,99.06572289309547,selected
half time,0.0012922768827581426,98.99345217998831,selected
malicious,0.0011437314737421473,98.96373681301749,selected
NUM quarter,0.00266909810174909,98.81405818854705,selected
game PERSON,0.0026154327710689483,98.41594661773976,selected
copy,0.0020901198541993043,98.40240995918822,selected
world cup,0.0016245613045790153,98.22803896547472,selected
operator,0.00179134600738834,98.07743087432661,selected
title,0.005037360518944206,97.87070307656181,selected
house,0.004372465852713304,97.82867406674691,selected
good film,0.0010304475252379786,97.7725334656253,selected
number NUM,0.005154809862057585,97.59902434244886,selected
PERSON chief,0.0026014554987415,97.35732682981431,selected
idea,0.0033007192743558004,97.34905101779523,selected
asylum,0.001303605487048649,97.17281970288924,selected
player PERSON,0.001941719547240669,97.14369739206889,selected
allow,0.005609413947826721,96.9877718712843,selected
stake,0.0020803198013687736,96.52025687474959,selected
able,0.0045186437111346955,96.336662886899,selected
minute PERSON,0.0012851562674724168,95.85307261455068,selected
china,0.003611790212694503,95.79683529745748,selected
revenue,0.0028118708339263877,95.71554416951825,selected
propose,0.0020656240619618986,95.33009177439045,selected
programme,0.004760013029761484,95.3250085912664,selected
PERSON government,0.0015593198986346216,95.12006963460217,selected
laptop,0.0008271837427350407,95.04327302139217,selected
show PERSON,0.0020450571793950247,95.02424147066424,selected
human right,0.0015093013522450279,94.93016537708966,selected
health,0.0030370873939357446,94.78742868636039,selected
newcastle,0.0022176952825667395,94.71424757892068,selected
director,0.006497703716983153,94.61544933947742,selected
euro MONEY,0.001575692640710799,94.41304674226951,selected
audio,0.0010281615316908013,94.30140657627027,selected
say mr,0.0029835066434458417,94.1760210487429,selected
race,0.0036056712896517236,94.12820297532784,selected
cinema,0.0015621445139225793,93.60360361408465,selected
crime,0.0019721960816862887,93.57945087827903,selected
playstation,0.0010903613714538921,93.42010421485024,selected
quarter final,0.0012112782089353817,93.40371750032678,selected
seed PERSON,0.0019763729187188164,93.40371750032678,selected
flanker PERSON,0.0011183714978187397,93.40371750032678,selected
name good,0.0010783250010370704,93.2902856931809,selected
direct PERSON,0.0009242996775096202,93.2902856931809,selected
PERSON economy,0.001346592301325825,92.81626275013325,selected
researcher,0.001117763100422307,92.35746023482312,selected
NUM large,0.0017363203049858315,92.18254471864617,selected
game NUM,0.0013825779466157685,91.9697537261683,selected
member,0.005034277330365917,91.94825045991747,selected
party leader,0.0006988558961237088,91.71090585642416,selected
british,0.006610249658624978,91.6883234362137,selected
medal,0.0016172416075137803,91.49707961591156,selected
story,0.0033853660899552792,91.40767285670363,selected
committee,0.0031816381136857905,90.87845526032595,selected
side PERSON,0.0012992150519333643,90.33563163740254,selected
NUM month,0.005891538400139713,90.22621985453245,selected
PERSON score,0.0011836525649455718,90.16536984478711,selected
back PERSON,0.002145013291872997,89.9256059191903,selected
NUM set,0.002677330151437718,89.90456576221202,selected
update,0.0011344624615571453,89.53102720244196,selected
die,0.003070071160871811,89.34677951855087,selected
income,0.002539790671545972,89.21711422268856,selected
intelligence,0.000915300198514493,89.15496448863975,selected
wales,0.0037521479480197165,88.9942197621541,selected
child,0.00432355584561846,88.93106300326956,selected
interface,0.0006141453695999797,88.64587754077984,selected
spam,0.0012517830732280766,88.64587754077984,selected
xbox,0.0007021618337251488,88.64587754077984,selected
war,0.003182587039784541,88.60321470880439,selected
measure,0.0028525724225060135,88.58358719963307,selected
olympics,0.0017016579129492083,88.44772870204167,selected
PERSON leader,0.0008996389211895774,88.39557286986073,selected
defender,0.0013915514534138958,88.39178186584806,selected
value,0.003361652999906755,88.35484122171317,selected
boost,0.0038826073112367336,88.3143887331303,selected
company say,0.001800037253552413,88.31278146439361,selected
easy,0.002718132881916609,88.17823058072894,selected
month NUM,0.0018459086706239265,88.16141077270512,selected
injure,0.0015913064093574423,88.14824608032,selected
figure,0.005966278724638862,88.07892454259688,selected
tell reuters,0.001298003560724997,88.07105243705729,selected
firm PERSON,0.0019440666226786846,87.98180192826253,selected
text,0.0014958942960300084,87.72122736921531,selected
studio,0.001963591198614821,87.66973042988747,selected
group,0.0074543813326740415,87.57102179343475,selected
good actress,0.0008458950690410018,87.3992842156612,selected
us tv,0.0009358552341182593,87.3992842156612,selected
innovation,0.0010856310287186784,87.2965948986485,selected
NUM victory,0.0011457469568855437,87.20796790955829,selected
new,0.014054999208464605,87.10444986810549,selected
perform,0.0027321733723369305,86.92980236129748,selected
click,0.0008442035851138501,86.7734918741311,selected
half,0.006213944643415326,86.3487564715374,selected
nhs,0.0007440976838643568,86.25653608985749,selected
constitutional,0.0007737094521783011,86.25653608985749,selected
defend,0.0025045325807299254,86.12059874507705,selected
data,0.0014152759053746807,86.04201704724704,selected
speech,0.0024568183779044165,85.9749297624482,selected
PERSON nominate,0.0008978408464716889,85.92545810948903,selected
channel NUM,0.0010781372661750781,85.92545810948903,selected
operating,0.0013720288972146899,85.92322314117882,selected
even,0.006163175050195679,85.76610665548998,selected
